,Hardware,Name,Price,SKU,Info,Image
58,Motherboard,Z390 Aorus Pro Intel LGA 1151 ATX Motherboard,189.99,832931,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512622_832931_01_front_thumbnail.jpg
59,Motherboard,Z490 Prime Intel LGA 1200 ATX Motherboard,159.99,106641,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623215_106641_01_front_thumbnail.jpg
60,Motherboard,Z390 M Gaming Intel LGA 1151 mATX Motherboard,144.99,832972,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512632_832972_01_front_thumbnail.jpg
61,Motherboard,Z490 MAG Tomahawk Intel LGA 1200 ATX Motherboard,189.99,112342,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623786_112342_01_front_thumbnail.jpg
62,Motherboard,B460M PRO-VDH WIFI Intel LGA 1200 mATX Motherboard,99.99,156133,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626255_156133_01_front_thumbnail.jpg
63,Motherboard,Z490 MPG Gaming Edge WiFi Intel LGA 1200 mATX Motherboard,189.99,112334,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623789_112334_01_front_thumbnail.jpg
64,Motherboard,X299X Aorus Master Intel LGA 2066 eATX Motherboard,429.99,046672,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/616281_046672_01_front_thumbnail.jpg
65,Motherboard,B360 PRIME Intel LGA 1151 mATX Motherboard,79.99,747782,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/505885_747782_01_front_thumbnail.jpg
66,Motherboard,B460-M DS3H Ultra Durable Intel LGA 1200 mATX Motherboard,79.99,146753,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626279_146753_01_front_thumbnail.jpg
67,Motherboard,Z490 AORUS PRO AX Intel LGA 1200 ATX Motherboard,229.99,115444,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623873_115444_01_front_thumbnail.jpg
